filename,kappa
mgh5-20220213-923.npz,0.6943262922644367
mgh7-20211124-749.npz,0.5730429828537764
mgh7-20220302-963.npz,0.4744520034741061
mgh5-20211026-660.npz,0.8228657644065125
mgh5-20210824-512.npz,0.5183572502775865
mgh5-20210621-375.npz,0.49913818342260763
mgh5-20211114-720.npz,0.89264107008049
mgh7-20210210-53.npz,0.8866122543073403
mgh6-20220126-877.npz,0.8971902112750466
mgh7-20220215-927.npz,0.572131637651496
mgh2-20210120-3.npz,0.8170608625310436
mgh5-20211107-698.npz,0.9195235373992734
mgh5-20210927-588.npz,0.8550917492087
mgh4-20220311-992.npz,0.7664850439230513
mgh6-20220321-1023.npz,0.7515734222627692
mgh6-20220116-848.npz,0.8225660352943079
mgh2-20211103-686.npz,0.8292007743863196
mgh8-20210910-552.npz,0.9200027288852504
mgh1-20210804-472.npz,0.9224548750035247
mgh5-20211025-659.npz,0.8013882660756839
mgh5-20210210-52.npz,0.8452906154966378
mgh8-20211222-817.npz,0.954007146503318
mgh5-20210702-404.npz,0.8232913950939289
mgh7-20210419-203.npz,0.8628576350782267
mgh7-20220207-906.npz,0.7118212035031015
mgh5-20210124-12.npz,0.8285820235379908
mgh1-20220319-1017.npz,0.7114172082646231
mgh2-20220112-840.npz,0.8338997858842452
mgh5-20211127-753.npz,0.9457762458957213
mgh1-20211107-699.npz,0.7800020998845063
mgh1-20220131-887.npz,0.935532938244347
mgh8-20210812-489.npz,0.8055258340992828
mgh6-20210522-294.npz,0.4705029013539651
mgh1-20211026-661.npz,0.9145579556707755
mgh7-20210720-439.npz,0.9268921767356038
mgh7-20211023-653.npz,0.7416696704052195
mgh1-20211205-770.npz,0.8875674632339294
mgh5-20210207-47.npz,0.8087389633604894
mgh7-20210517-280.npz,0.8803586312055668
mgh8-20210420-205.npz,0.8116598840794179
mgh5-20210901-535.npz,0.8137953910380551
mgh7-20210311-91.npz,0.811771623271872
mgh6-20211123-745.npz,0.9100396869278877
mgh8-20210817-499.npz,0.8828004961587708
mgh5-20220131-888.npz,0.7545255894932306
mgh1-20210702-405.npz,0.9319583751527913
mgh4-20210330-146.npz,0.8479767935937245
mgh4-20210811-486.npz,0.7617804414559275
mgh1-20220308-982.npz,0.8569677245969716
mgh4-20210421-211.npz,0.6899079320113314
mgh5-20210506-251.npz,0.9259382489397673
mgh7-20211118-731.npz,0.5552814399621062
mgh6-20210803-469.npz,0.8197035936196498
mgh5-20210704-411.npz,0.792719414893617
mgh5-20210807-478.npz,0.8160694968761728
mgh7-20210127-19.npz,0.787760044561769
mgh4-20210824-515.npz,0.7472243028757265
mgh5-20210831-531.npz,0.7383339288091185
mgh6-20210717-431.npz,0.6143364062297553
mgh7-20210424-217.npz,0.8622021542813622
mgh4-20210504-243.npz,0.8774145986259797
mgh5-20211011-626.npz,0.7191589648022698
mgh5-20220306-972.npz,0.9786260372315629
mgh5-20210524-299.npz,0.9323668331593509
mgh5-20210622-377.npz,0.9157285814484823
mgh1-20211018-642.npz,0.9511232089976369
mgh7-20220321-1022.npz,0.7602923741570978
mgh5-20210809-480.npz,0.8059778567297364
mgh5-20211210-783.npz,0.9102258953423426
mgh8-20210828-523.npz,0.5626993119721518
mgh5-20210823-510.npz,0.8101553345945132
mgh8-20210721-440.npz,0.7379475677955838
mgh1-20210807-477.npz,0.874219615996508
mgh7-20210320-116.npz,0.926160751619207
mgh1-20210831-530.npz,0.4576479541064217
mgh1-20210906-543.npz,0.49417543368012173
mgh6-20210206-45.npz,0.7556931336046411
mgh5-20210822-509.npz,0.8768140383067327
mgh6-20210531-317.npz,0.8940628637951106
mgh5-20211030-674.npz,0.5866376255529216
mgh5-20210814-491.npz,0.7676517427131493
